1,Philadelphia Eagles vs WRs,0,0,0,0.2,1.9,0,12.7,196.3,1.3,23.1,0,0,0.1,27.44
2,Washington Redskins vs WRs,0,0,0,0.6,3.8,0,12.3,175.8,1.4,18.8,0.1,0,0.1,26.71
3,Tampa Bay Buccaneers vs WRs,1.8,0,0,0.9,6.9,0.1,12.6,171.8,1.3,19.3,0.1,0.1,0,26.31
4,Houston Texans vs WRs,1.6,0.1,0,0.3,0.2,0,14.3,178.1,1.3,25.6,0,0,0.2,25.89
5,Baltimore Ravens vs WRs,0,0,0,1.1,8.8,0,14.8,191.3,0.9,23.9,0,0.1,0.2,25.38
6,New Orleans Saints vs WRs,0,0,0,0.3,1,0,12.5,172.4,1.3,20.4,0,0.1,0.1,24.96
7,Green Bay Packers vs WRs,0,0,0,0.6,5.6,0.1,11.6,145.1,1.4,20.5,0.1,0.1,0,24.56
8,Atlanta Falcons vs WRs,3.1,0,0,0.4,3.9,0,12.8,195.9,0.8,20.9,0,0,0.3,24.48
9,St. Louis Rams vs WRs,0,0,0,0.4,7.1,0.1,13.8,174.6,1,20,0,0,0.1,24.29
10,Chicago Bears vs WRs,0,0,0,0.4,1.2,0,12.4,175.6,1.1,19.4,0.1,0,0.4,24.05
11,Pittsburgh Steelers vs WRs,0,0,0,0.8,4.7,0,12.6,179.1,0.9,20.4,0.1,0,0.2,24
12,Miami Dolphins vs WRs,0,0,0,1.4,12.1,0.1,12.9,158.4,1,20.5,0,0.1,0.1,23.8
13,New York Jets vs WRs,0,0,0,0.4,3.5,0,12.6,173.4,0.9,19.9,0,0.1,0.2,22.69
14,Carolina Panthers vs WRs,0,0,0,0.4,2,0,13.3,164.1,1.1,20.2,0,0,0.2,22.61
15,Arizona Cardinals vs WRs,0,0,0,0.8,3.8,0,13.2,176.4,0.8,21.7,0,0,0.1,22.27
16,Cleveland Browns vs WRs,0,0,0,0.9,8.2,0,12.6,155.9,0.9,23.6,0,0,0.1,21.91
17,Tennessee Titans vs WRs,1.7,0.1,0,0.3,1.8,0,13.1,171.2,0.7,21.4,0.1,0,0.1,21.87
18,Jacksonville Jaguars vs WRs,0,0,0,0.8,5.6,0,11.6,164.9,0.8,18.4,0,0,0.1,21.81
19,San Diego Chargers vs WRs,0,0,0,0.8,7.4,0.2,11.1,143.1,1,19,0,0,0.2,21.79
20,New York Giants vs WRs,0,0,0,0.6,2.8,0,11.1,157.3,0.9,18.5,0.1,0,0,21.64
21,San Francisco 49ers vs WRs,0.6,0,0,0.5,2.1,0,11.2,150.4,1.1,19.8,0,0,0.1,21.4
22,Minnesota Vikings vs WRs,0,0,0,0.8,2.3,0,11.8,143.6,1.1,19.4,0,0,0.2,20.96
23,Detroit Lions vs WRs,0,0,0,0.5,1.4,0,12.9,151.9,0.9,21.6,0,0.1,0.1,20.58
24,Buffalo Bills vs WRs,0,0,0,0.8,5.6,0,12.8,157.1,0.8,21.3,0,0,0.3,20.53
25,Kansas City Chiefs vs WRs,0,0,0,0.5,2.1,0,13,156.8,0.8,23.2,0,0,0.1,20.51
26,Oakland Raiders vs WRs,0,0,0,0.5,3,0.1,12.3,149.1,0.7,19.4,0,0,0.1,19.58
27,Dallas Cowboys vs WRs,0,0,0,0.6,0.9,0,11.8,156.5,0.6,18.6,0,0.1,0.1,19.49
28,Indianapolis Colts vs WRs,0,0,0,0.4,3.8,0,10.1,136.9,1,19.9,0,0,0.4,19.33
29,New England Patriots vs WRs,0,0,0,0.6,1.6,0,10.9,152.1,0.7,19.9,0,0.1,0.3,19.12
30,Cincinnati Bengals vs WRs,0,0,0,0.2,0.3,0,12.6,145.4,0.7,22.5,0.1,0,0,19.06
31,Denver Broncos vs WRs,1.1,0,0,0.4,1.3,0,12.6,132.3,0.9,21.9,0.1,0,0.2,18.64
32,Seattle Seahawks vs WRs,0,0,0,0.6,1.8,0,9.9,116.1,0.3,17.4,0.1,0.1,0.1,14.04
