Quarterbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%DB,%Runs
1,Tom Brady,2017,2000-6,38,"6'4""",225,0,75%,6%
2,Jimmy Garoppolo,2017,2014-2,23.8,"6'2""",225,0,25%,3%
3,Ryan Lindley,0,2012-6,26.1,"6'3""",232,0,0%,0%
,,,,,,,,,
Halfbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,LeGarrette Blount,2015,2010-U,28.7,"6'0""",250,0,44%,2%
2,Jonas Gray,2015,2012-U,25.1,"5'10""",225,0,24%,2%
3,James White,2017,2014-4,23.5,"5'10""",205,0,14%,9%
4,Travaris Cadet,0,2012-U,26.5,"6'1""",210,0,1%,1%
5,Brandon Bolden,2016,2012-U,25.5,"5'11""",220,0,6%,1%
6,Dion Lewis,R/F,2011-5,24.9,"5'8""",195,0,0%,0%
7,Tony Creecy,0,0,0,0,0,0,0%,0%
10,Tyler Gaffney,2017,2014-6,24.3,"6'0""",220,IR,0%,0%
,,,,,,,,,
Fullbacks,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,James Develin,2015,2010-U,27,"6'3""",255,0,0%,1%
,,,,,,,,,
Wide Receivers,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Julian Edelman,2017,2009-7,29.2,"5'10""",200,0,2%,23%
2,Brandon LaFell,2016,2010-3,28.8,"6'3""",210,0,0%,15%
3,Reggie Wayne,2015,2001-1,36.7,"6'0""",203,0,0%,11%
4,Danny Amendola,2017,2008-U,29.8,"5'11""",190,0,0%,7%
5,Aaron Dobson,2016,2013-2,24,"6'3""",205,0,0%,1%
6,Chris Harper,2017,2015-U,0,"0'0""",0,0,0%,1%
7,Matt Slater,2016,2008-5,29.9,"5'11""",195,0,0%,0%
8,Josh Boyce,2015,2013-4,24.3,"5'11""",205,0,0%,0%
9,Jonathan Krause,R/F,0,0,0,0,0,0%,0%
10,Zach D'Orazio,0,0,0,0,0,0,0%,0%
15,Brian Tyms,0,2012-U,26.5,"6'3""",205,IR,0%,0%
16,Brandon Gibson,2015,2009-6,28,"6'0""",210,IR,0%,0%
,,,,,,,,,
Tight Ends,,,,,,,,,
,,,,,,,,,
Depth,Player,Contract,Draft,Age,Ht,Wt,Status,%Runs,%Targs
1,Rob Gronkowski,2019,2010-2,26.2,"6'6""",265,0,0%,24%
2,Scott Chandler,0,2007-4,30,"6'7""",260,0,0%,3%
3,Michael Hoomanawanui,2015,2010-5,27.1,"6'4""",265,0,0%,1%
4,Jake Bequette,0,2012-3,26.5,"6'5""",265,0,0%,0%
5,Jimmay Mundine,2017,0,0,0,0,0,0%,0%
6,Asante Cleveland,0,2014-U,23.4,"6'5""",260,0,0%,0%
8,A.J. Derby,2018,2015-6,23.9,"6'5""",255,IR,0%,0%
,,,,,,,,,
